URL_ID,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
1,0.236,0.013,0.9996,0.751,17.58695652,17.4289246,14.00635245,17.58695652,141,809,1.800988875,8,5.850432633
2,0.275,0.018,0.9999,0.707,20.42592593,18.31368994,15.49584634,20.42592593,202,1103,1.799637353,6,5.77969175
3,0.204,0.02,0.9996,0.776,20.03773585,16.10169492,14.45577231,20.03773585,171,1062,1.722222222,10,5.529190207
4,0.232,0.018,0.9998,0.75,22.63829787,17.76315789,16.16058231,22.63829787,189,1064,1.762218045,6,5.656954887
5,0.184,0.04,0.999,0.777,17.95555556,16.21287129,13.66737074,17.95555556,131,808,1.709158416,11,5.553217822
6,0.239,0.015,0.9998,0.746,19.81132075,16.85714286,14.66738544,19.81132075,177,1050,1.781904762,11,5.641904762
7,0.192,0.011,0.9988,0.797,22.24137931,18.60465116,16.33841219,22.24137931,120,645,1.835658915,6,5.843410853
8,0.109,0.016,1,0.874,29.10289389,16.91525798,18.40726075,29.10289389,1531,9051,1.658711745,245,5.134460281
9,0.197,0.048,0.9952,0.755,27.69230769,18.05555556,18.2991453,27.69230769,65,360,1.886111111,4,6.066666667
10,0.218,0.01,0.9993,0.772,21.96875,16.35846373,15.33088549,21.96875,115,703,1.753911807,8,5.704125178
11,0.157,0.025,0.9954,0.817,12.32352941,30.31026253,17.05351678,12.32352941,127,419,2.675417661,8,9.861575179
12,0.231,0.019,0.9976,0.751,23.15384615,16.94352159,16.0389471,23.15384615,51,301,1.853820598,6,6.026578073
13,0.235,0.012,0.9995,0.752,21.29411765,17.67955801,15.58947026,21.29411765,128,724,1.832872928,5,5.972375691
14,0.187,0.011,0.9988,0.802,23.25,17.51152074,16.30460829,23.25,114,651,1.801843318,6,5.792626728
15,0.186,0.016,0.9992,0.798,22.65714286,14.62799496,14.91405513,22.65714286,116,793,1.707440101,5,5.595208071
16,0.079,0.044,0.9996,0.877,26.72033898,17.3168411,17.61487203,26.72033898,1092,6306,1.693625119,4,5.276403425
17,0.225,0.012,0.9997,0.763,20.30769231,16.47727273,14.71398601,20.30769231,174,1056,1.744318182,7,5.598484848
18,0.174,0.02,0.999,0.806,26.09677419,15.2039555,16.52029188,26.09677419,123,809,1.683559951,13,5.480840544
19,0.309,0.015,0.9998,0.675,23.62068966,15.91240876,15.81323937,23.62068966,109,685,1.759124088,21,5.759124088
20,0.196,0.01,0.9996,0.793,19.23636364,19.47069943,15.48282523,19.23636364,206,1058,1.829867675,7,5.783553875
21,0.202,0.013,0.9991,0.784,17.25641026,14.85884101,12.84610051,17.25641026,100,673,1.765230312,6,5.646359584
22,0.228,0.019,0.9997,0.754,33.96551724,19.49238579,21.38316121,33.96551724,192,985,1.845685279,20,5.821319797
23,0.291,0.007,0.9999,0.702,19.3442623,14.3220339,13.46651848,19.3442623,169,1180,1.655932203,44,5.360169492
24,0.2,0.016,0.9988,0.784,24.91304348,16.57940663,16.59698004,24.91304348,95,573,1.748691099,5,5.602094241
25,0.237,0.025,0.9997,0.738,19.76923077,19.26070039,15.61197246,19.76923077,198,1028,1.845330739,5,5.81614786
26,0.162,0.015,0.9994,0.823,18.36363636,9.801980198,11.26624662,18.36363636,99,1010,1.527722772,41,4.877227723
27,0.229,0.022,0.9987,0.749,21.90909091,14.93775934,14.7387401,21.90909091,72,482,1.753112033,14,5.674273859
28,0.189,0.017,0.9995,0.794,22.90243902,13.84451544,14.69878179,22.90243902,130,939,1.654952077,12,5.382321619
29,0.19,0.015,0.9995,0.795,21.95454545,13.45755694,14.16484096,21.95454545,130,966,1.689440994,12,5.407867495
30,0.178,0.016,0.9998,0.806,17.80952381,15.37433155,13.27354214,17.80952381,230,1496,1.74197861,30,5.527406417
31,0.192,0.02,0.9995,0.787,26.86842105,17.43388834,17.72092376,26.86842105,178,1021,1.747306562,22,5.619000979
32,0.208,0.014,0.9991,0.778,19.11764706,17.84615385,14.78552036,19.11764706,116,650,1.796923077,6,5.773846154
33,0.198,0.02,0.9997,0.782,16.52054795,13.68159204,12.08085599,16.52054795,165,1206,1.627694859,6,5.21641791
34,0.221,0.012,0.9997,0.768,23.02272727,17.76900296,16.31669209,23.02272727,180,1013,1.806515301,6,5.772951629
35,0.197,0.014,0.9987,0.789,25.85,16.05415861,16.76166344,25.85,83,517,1.721470019,10,5.746615087
36,0.268,0.02,0.9999,0.712,16.66666667,15.39130435,12.82318841,16.66666667,177,1150,1.711304348,12,5.54
