"Site Crawled","https://www.splashtop.com/"
"Date","2024-10-12"
"Time","20:01:13"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Total URLs Encountered","500","100.00%","500","URLs Encountered"
"Total URLs Crawled","485","97.00%","500","URLs Encountered"
"Total Internal blocked by robots.txt","0","0.00%","500","URLs Encountered"
"Total External blocked by robots.txt","15","3.00%","500","URLs Encountered"
""
"URLs Displayed","500","100.00%","500","URLs Displayed"
"Total Internal URLs","205","41.00%","500","URLs Displayed"
"Total External URLs","295","59.00%","500","URLs Displayed"
"Total Internal Indexable URLs","179","35.80%","500","URLs Displayed"
"Total Internal Non-Indexable URLs","26","5.20%","500","URLs Displayed"
""
"Internal"
"All","205","100.00%","205","Internal URLs"
"HTML","191","93.17%","205","Internal URLs"
"JavaScript","4","1.95%","205","Internal URLs"
"CSS","0","0.00%","205","Internal URLs"
"Images","7","3.41%","205","Internal URLs"
"Media","0","0.00%","205","Internal URLs"
"Fonts","0","0.00%","205","Internal URLs"
"XML","1","0.49%","205","Internal URLs"
"PDF","0","0.00%","205","Internal URLs"
"Plugins","0","0.00%","205","Internal URLs"
"Other","2","0.98%","205","Internal URLs"
"Unknown","0","0.00%","205","Internal URLs"
""
"External"
"All","295","100.00%","295","External URLs"
"HTML","29","9.83%","295","External URLs"
"JavaScript","1","0.34%","295","External URLs"
"CSS","0","0.00%","295","External URLs"
"Images","239","81.02%","295","External URLs"
"Media","0","0.00%","295","External URLs"
"Fonts","0","0.00%","295","External URLs"
"XML","0","0.00%","295","External URLs"
"PDF","10","3.39%","295","External URLs"
"Plugins","0","0.00%","295","External URLs"
"Other","1","0.34%","295","External URLs"
"Unknown","15","5.08%","295","External URLs"
""
"Security"
"All","205","100.00%","205","All internal and non-HTML external URLs"
"HTTP URLs","0","0.00%","205","All internal and non-HTML external URLs"
"HTTPS URLs","205","100.00%","205","All internal and non-HTML external URLs"
"Mixed Content","0","0.00%","205","All internal and non-HTML external URLs"
"Form URL Insecure","0","0.00%","205","All internal and non-HTML external URLs"
"Form on HTTP URL","0","0.00%","205","All internal and non-HTML external URLs"
"Unsafe Cross-Origin Links","0","0.00%","205","All internal and non-HTML external URLs"
"Protocol-Relative Resource Links","24","11.71%","205","All internal and non-HTML external URLs"
"Missing HSTS Header","0","0.00%","205","All internal and non-HTML external URLs"
"Missing Content-Security-Policy Header","193","94.15%","205","All internal and non-HTML external URLs"
"Missing X-Content-Type-Options Header","0","0.00%","205","All internal and non-HTML external URLs"
"Missing X-Frame-Options Header","0","0.00%","205","All internal and non-HTML external URLs"
"Missing Secure Referrer-Policy Header","193","94.15%","205","All internal and non-HTML external URLs"
"Bad Content Type","0","0.00%","205","All internal and non-HTML external URLs"
""
"Response Codes"
"All","500","100.00%","500","All Internal & External Crawled URLs"
"Blocked by Robots.txt","15","3.00%","500","All Internal & External Crawled URLs"
"Blocked Resource","0","0.00%","500","All Internal & External Crawled URLs"
"No Response","0","0.00%","500","All Internal & External Crawled URLs"
"Success (2xx)","462","92.40%","500","All Internal & External Crawled URLs"
"Redirection (3xx)","23","4.60%","500","All Internal & External Crawled URLs"
"Redirection (JavaScript)","0","0.00%","500","All Internal & External Crawled URLs"
"Redirection (Meta Refresh)","0","0.00%","500","All Internal & External Crawled URLs"
"Client Error (4xx)","0","0.00%","500","All Internal & External Crawled URLs"
"Server Error (5xx)","0","0.00%","500","All Internal & External Crawled URLs"
"Internal All","205","41.00%","500","All Internal Crawled URLs"
"Internal Blocked by Robots.txt","0","0.00%","500","All Internal Crawled URLs"
"Internal Blocked Resource","0","0.00%","500","All Internal Crawled URLs"
"Internal No Response","0","0.00%","500","All Internal Crawled URLs"
"Internal Success (2xx)","193","38.60%","500","All Internal Crawled URLs"
"Internal Redirection (3xx)","12","2.40%","500","All Internal Crawled URLs"
"Internal Redirection (JavaScript)","0","0.00%","500","All Internal Crawled URLs"
"Internal Redirection (Meta Refresh)","0","0.00%","500","All Internal Crawled URLs"
"Internal Redirect Chain","0","0.00%","500","All Internal Crawled URLs"
"Internal Redirect Loop","0","0.00%","500","All Internal Crawled URLs"
"Internal Client Error (4xx)","0","0.00%","500","All Internal Crawled URLs"
"Internal Server Error (5xx)","0","0.00%","500","All Internal Crawled URLs"
"External All","295","59.00%","500","All External Crawled URLs"
"External Blocked by Robots.txt","15","3.00%","500","All External Crawled URLs"
"External Blocked Resource","0","0.00%","500","All External Crawled URLs"
"External No Response","0","0.00%","500","All External Crawled URLs"
"External Success (2xx)","269","53.80%","500","All External Crawled URLs"
"External Redirection (3xx)","11","2.20%","500","All External Crawled URLs"
"External Redirection (JavaScript)","0","0.00%","500","All External Crawled URLs"
"External Redirection (Meta Refresh)","0","0.00%","500","All External Crawled URLs"
"External Client Error (4xx)","0","0.00%","500","All External Crawled URLs"
"External Server Error (5xx)","0","0.00%","500","All External Crawled URLs"
""
"URL"
"All","205","100.00%","205","Internal URLs"
"Non ASCII Characters","0","0.00%","205","Internal URLs"
"Underscores","0","0.00%","205","Internal URLs"
"Uppercase","0","0.00%","205","Internal URLs"
"Multiple Slashes","0","0.00%","205","Internal URLs"
"Repetitive Path","0","0.00%","205","Internal URLs"
"Contains Space","0","0.00%","205","Internal URLs"
"Internal Search","0","0.00%","205","Internal URLs"
"Parameters","11","5.37%","205","Internal URLs"
"Broken Bookmark","0","0.00%","205","Internal URLs"
"GA Tracking Parameters","0","0.00%","205","Internal URLs"
"Over 115 Characters","0","0.00%","205","Internal URLs"
""
"Page Titles"
"All","181","100.00%","181","Internal HTML pages with 2xx response"
"Missing","0","0.00%","181","Internal HTML pages with 2xx response"
"Duplicate","0","0.00%","181","Internal HTML pages with 2xx response"
"Over 60 Characters","32","17.68%","181","Internal HTML pages with 2xx response"
"Below 30 Characters","10","5.52%","181","Internal HTML pages with 2xx response"
"Over 561 Pixels","45","24.86%","181","Internal HTML pages with 2xx response"
"Below 200 Pixels","2","1.10%","181","Internal HTML pages with 2xx response"
"Same as H1","2","1.10%","181","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","181","Internal HTML pages with 2xx response"
"Outside <head>","0","0.00%","181","Internal HTML pages with 2xx response"
""
"Meta Description"
"All","181","100.00%","181","Internal HTML pages with 2xx response"
"Missing","1","0.55%","181","Internal HTML pages with 2xx response"
"Duplicate","0","0.00%","181","Internal HTML pages with 2xx response"
"Over 155 Characters","42","23.20%","181","Internal HTML pages with 2xx response"
"Below 70 Characters","1","0.55%","181","Internal HTML pages with 2xx response"
"Over 985 Pixels","59","32.60%","181","Internal HTML pages with 2xx response"
"Below 400 Pixels","0","0.00%","181","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","181","Internal HTML pages with 2xx response"
"Outside <head>","0","0.00%","181","Internal HTML pages with 2xx response"
""
"Meta Keywords"
"All","181","100.00%","181","Internal HTML pages with 2xx response"
"Missing","167","92.27%","181","Internal HTML pages with 2xx response"
"Duplicate","0","0.00%","181","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","181","Internal HTML pages with 2xx response"
""
"H1"
"All","181","100.00%","181","Internal HTML pages with 2xx response"
"Missing","0","0.00%","181","Internal HTML pages with 2xx response"
"Duplicate","2","1.10%","181","Internal HTML pages with 2xx response"
"Over 70 Characters","16","8.84%","181","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","181","Internal HTML pages with 2xx response"
"Alt Text in H1","0","0.00%","181","Internal HTML pages with 2xx response"
"Non-Sequential","0","0.00%","181","Internal HTML pages with 2xx response"
""
"H2"
"All","181","100.00%","181","Internal HTML pages with 2xx response"
"Missing","41","22.65%","181","Internal HTML pages with 2xx response"
"Duplicate","46","25.41%","181","Internal HTML pages with 2xx response"
"Over 70 Characters","23","12.71%","181","Internal HTML pages with 2xx response"
"Multiple","112","61.88%","181","Internal HTML pages with 2xx response"
"Non-Sequential","15","8.29%","181","Internal HTML pages with 2xx response"
""
"Content"
"All","181","100.00%","181","Internal HTML pages with 2xx response"
"Exact Duplicates","0","0.00%","181","Internal HTML pages with 2xx response"
"Near Duplicates","0","0.00%","181","Internal HTML pages with 2xx response"
"Low Content Pages","32","17.68%","181","Internal HTML pages with 2xx response"
"Soft 404 Pages","0","0.00%","181","Internal HTML pages with 2xx response"
"Spelling Errors","0","0.00%","181","Internal HTML pages with 2xx response"
"Grammar Errors","0","0.00%","181","Internal HTML pages with 2xx response"
"Readability Difficult","42","23.20%","181","Internal HTML pages with 2xx response"
"Readability Very Difficult","2","1.10%","181","Internal HTML pages with 2xx response"
"Lorem Ipsum Placeholder","0","0.00%","181","Internal HTML pages with 2xx response"
""
"Images"
"All","246","100.00%","246","Images with 2xx response"
"Over 100 KB","4","1.63%","246","Images with 2xx response"
"Missing Alt Text","24","9.76%","246","Images with 2xx response"
"Missing Alt Attribute","0","0.00%","246","Images with 2xx response"
"Alt Text Over 100 Characters","6","2.44%","246","Images with 2xx response"
"Background Images","0","0.00%","246","Images with 2xx response"
"Incorrectly Sized Images","0","0.00%","246","Images with 2xx response"
"Missing Size Attributes","245","99.59%","246","Images with 2xx response"
""
"Canonicals"
"All","181","100.00%","181","Internal HTML or PDF pages with 2xx response"
"Contains Canonical","181","100.00%","181","Internal HTML or PDF pages with 2xx response"
"Self Referencing","170","93.92%","181","Internal HTML or PDF pages with 2xx response"
"Canonicalised","11","6.08%","181","Internal HTML or PDF pages with 2xx response"
"Missing","0","0.00%","181","Internal HTML or PDF pages with 2xx response"
"Multiple","0","0.00%","181","Internal HTML or PDF pages with 2xx response"
"Multiple Conflicting","0","0.00%","181","Internal HTML or PDF pages with 2xx response"
"Non-Indexable Canonical","0","0.00%","181","Internal HTML or PDF pages with 2xx response"
"Canonical Is Relative","0","0.00%","181","Internal HTML or PDF pages with 2xx response"
"Unlinked","0","0.00%","181","Internal HTML or PDF pages with 2xx response"
"Outside <head>","0","0.00%","181","Internal HTML or PDF pages with 2xx response"
""
"Pagination"
"All","181","100.00%","181","Internal HTML pages with 2xx response"
"Contains Pagination","0","0.00%","181","Internal HTML pages with 2xx response"
"First Page","0","0.00%","181","Internal HTML pages with 2xx response"
